price,area,bedRoom,bathroom,balcony,floorNum,log_price,others,pooja room,servant room,store room,study room,Environment,Lifestyle,Connectivity,Safety,Wardrobe,Fan,Exhaust Fan,Geyser,Light,Modular Kitchen,AC,Chimney,Bed,Curtains,Dining Table,Microwave,Fridge,Sofa,Stove,TV,Washing Machine,Water Purifier,facing_East,facing_North,facing_North-East,facing_North-West,facing_South,facing_South-East,facing_South-West,facing_West,agePossession_0 to 1 Year Old,agePossession_1 to 5 Year Old,agePossession_10+ Year Old,agePossession_5 to 10 Year Old,agePossession_By 2024,agePossession_By 2027,agePossession_Dec 2023,agePossession_Dec 2024,agePossession_Jan 2024,agePossession_Jun 2024,agePossession_Oct 2023,agePossession_Oct 2024,agePossession_Under Construction,agePossession_Within 3 months,agePossession_Within 6 months
5.25,2610.0,5,4,4,3.0,1.8325814637483102,0,0,1,0,0,5,4,4,4,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5.7,539.0,5,4,2,2.0,1.9021075263969205,0,1,1,1,0,0,0,0,0,0,5,1,0,8,0,0,0,0,0,0,0,0,0,1,0,0,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2.1,549.0,10,10,4,5.0,1.1314021114911006,0,0,1,0,0,5,5,5,5,0,3,0,10,2,0,0,0,10,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5.0,1161.0,21,21,4,5.0,1.791759469228055,0,0,1,0,0,4,5,4,4,21,21,1,21,21,1,0,1,21,1,1,1,1,1,1,0,1,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
3.0,558.0,12,12,4,5.0,1.3862943611198906,1,0,0,0,0,5,5,5,5,12,12,1,12,12,0,0,0,12,1,0,1,1,1,1,0,1,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
4.5,1152.0,20,20,4,4.0,1.7047480922384253,0,0,1,0,0,5,5,5,5,20,20,1,20,0,0,0,0,20,1,1,1,1,1,1,0,1,1,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
12.0,3240.0,5,5,4,3.0,2.5649493574615367,0,1,1,1,0,3,4,4,4,4,6,1,5,10,1,0,1,0,0,0,1,0,0,0,0,0,1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20.0,4091.0,16,16,4,4.0,3.044522437723423,0,0,1,0,0,5,5,5,5,16,26,1,16,32,1,16,1,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10.85,2844.0,6,6,1,3.0,2.47232786758114,0,0,0,1,0,5,5,5,5,4,5,1,2,6,1,0,0,0,1,0,0,0,0,0,0,0,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1.95,1935.0,3,4,4,4.0,1.0818051703517284,0,0,1,0,0,5,5,5,5,3,5,1,3,55,1,4,1,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
